                 t         prod_1         prod_2         prod_3         prod_4         prod_5
77        6.166989    4278.793026    4278.793026    4278.793026    4278.793026    4278.793026
78        6.247080    4333.649347    4333.649347    4333.649347    4333.649347    4333.649347
79        6.327171    4388.505668    4388.505668    4388.505668    4388.505668    4388.505668
80        6.407262    4443.361989    4443.361989    4443.361989    4443.361989    4443.361989
81        6.487352    4498.218310    4498.218310    4498.218310    4498.218310    4498.218310
82        6.567443    4553.074630    4553.074630    4553.074630    4553.074630    4553.074630
83        6.647534    4607.930951    4607.930951    4607.930951    4607.930951    4607.930951
84        6.727625    4662.787272    4662.787272    4662.787272    4662.787272    4662.787272
85        6.807715    4717.643593    4717.643593    4717.643593    4717.643593    4717.643593
86        6.887806    4772.499914    4772.499914    4772.499914    4772.499914    4772.499914
87        6.967897    4827.356235    4827.356235    4827.356235    4827.356235    4827.356235
88        7.047988    4882.212555    4882.212555    4882.212555    4882.212555    4882.212555
89        7.128078    4937.068876    4937.068876    4937.068876    4937.068876    4937.068876
90        7.208169    4991.925197    4991.925197    4991.925197    4991.925197    4991.925197
91        7.288260    5046.781518    5046.781518    5046.781518    5046.781518    5046.781518
92        7.368351    5101.637839    5101.637839    5101.637839    5101.637839    5101.637839
93        7.448442    5156.494160    5156.494160    5156.494160    5156.494160    5156.494160
94        7.528532    5211.350481    5211.350481    5211.350481    5211.350481    5211.350481
95        7.608623    5266.206801    5266.206801    5266.206801    5266.206801    5266.206801
96        7.688714    5321.063122    5321.063122    5321.063122    5321.063122    5321.063122
97        7.768805    5375.919443    5375.919443    5375.919443    5375.919443    5375.919443
98        7.848895    5430.775764    5430.775764    5430.775764    5430.775764    5430.775764
99        7.928986    5485.632085    5485.632085    5485.632085    5485.632085    5485.632085
100       8.009077    5540.488406    5540.488406    5540.488406    5540.488406    5540.488406
101       8.089168    5595.344726    5595.344726    5595.344726    5595.344726    5595.344726
102       8.169258    5650.201047    5650.201047    5650.201047    5650.201047    5650.201047
103       8.249349    5705.057368    5705.057368    5705.057368    5705.057368    5705.057368
104       8.329440    5759.913689    5759.913689    5759.913689    5759.913689    5759.913689
