          x      Sw_1         p_1      Sw_2         p_2      Sw_3         p_3      Sw_4         p_4           C_1           C_2           C_3           C_4
40    200.0  0.709347  438.748169  0.729873  630.148071  0.730084  648.323730  0.730451  605.691528  4.988805e+02  4.403177e-03  5.004942e-19  0.000000e+00
41    205.0  0.708119  431.446014  0.729649  629.707458  0.729867  647.884277  0.730221  605.252197  4.982625e+02  8.169822e-03  1.622318e-18  0.000000e+00
42    210.0  0.706810  424.127472  0.729534  629.266541  0.729706  647.444519  0.729953  604.812317  4.973621e+02  1.481734e-02  5.141601e-18  7.644817e-38
43    215.0  0.705405  416.796661  0.729325  628.825256  0.729482  647.004395  0.729698  604.371887  4.960792e+02  2.628111e-02  1.593517e-17  5.106766e-37
44    220.0  0.703882  409.459290  0.729261  628.383545  0.729410  646.564026  0.729575  603.931091  4.942927e+02  4.561600e-02  4.834171e-17  3.389046e-36
45    225.0  0.702223  402.123199  0.728997  627.941284  0.729319  646.123535  0.729354  603.489990  4.918584e+02  7.750671e-02  1.435855e-16  1.674461e-35
46    230.0  0.700401  394.798706  0.728774  627.498108  0.728951  645.682678  0.729165  603.048584  4.886112e+02  1.289892e-01  4.174431e-16  7.117698e-35
47    235.0  0.698393  387.498932  0.728671  627.054077  0.728838  645.241394  0.729116  602.606995  4.843690e+02  2.103803e-01  1.189337e-15  2.896232e-34
48    240.0  0.696170  380.240265  0.728595  626.608948  0.728730  644.799866  0.729010  602.165283  4.789381e+02  3.364305e-01  3.321736e-15  1.149312e-33
49    245.0  0.693695  373.042450  0.728459  626.162231  0.728629  644.358154  0.728781  601.723267  4.721227e+02  5.277295e-01  9.098257e-15  4.466625e-33
50    250.0  0.690932  365.928558  0.728343  625.713135  0.728501  643.916260  0.728628  601.280945  4.637344e+02  8.123375e-01  2.444624e-14  1.703002e-32
51    255.0  0.687839  358.925171  0.728183  625.260681  0.728307  643.474060  0.728446  600.838379  4.536037e+02  1.227597e+00  6.445514e-14  6.373738e-32
52    260.0  0.684366  352.061798  0.728037  624.803467  0.728257  643.031616  0.728283  600.395508  4.415941e+02  1.821978e+00  1.668522e-13  2.342186e-31
53    265.0  0.680453  345.370728  0.727909  624.339600  0.728061  642.588928  0.728147  599.952393  4.276120e+02  2.657010e+00  4.241024e-13  8.455317e-31
54    270.0  0.676033  338.885895  0.727788  623.866577  0.728037  642.146057  0.728044  599.509033  4.116185e+02  3.808635e+00  1.059124e-12  2.999597e-30
55    275.0  0.671025  332.642395  0.727735  623.381165  0.727985  641.703064  0.727998  599.065491  3.936363e+02  5.368658e+00  2.599387e-12  1.046357e-29
56    280.0  0.665335  326.675568  0.727602  622.879333  0.727861  641.259949  0.727945  598.621948  3.737552e+02  7.444356e+00  6.270112e-12  3.589444e-29
57    285.0  0.658864  321.019897  0.727372  622.355652  0.727736  640.816528  0.727908  598.178345  3.521309e+02  1.015801e+01  1.487029e-11  1.211137e-28
58    290.0  0.651585  315.708801  0.727258  621.803894  0.727510  640.372803  0.727759  597.734558  3.289842e+02  1.364577e+01  3.467519e-11  4.019772e-28
59    295.0  0.643964  310.776550  0.727130  621.216492  0.727296  639.928650  0.727641  597.290588  3.046028e+02  1.805337e+01  7.952741e-11  1.312713e-27
60    300.0  0.637257  306.188751  0.726971  620.584595  0.727353  639.484375  0.727506  596.846436  2.793764e+02  2.353121e+01  1.795419e-10  4.219422e-27
61    305.0  0.630036  301.885223  0.726827  619.897949  0.727213  639.040039  0.727296  596.401917  2.537137e+02  3.022910e+01  3.989228e-10  1.334763e-26
62    310.0  0.622051  297.860352  0.726638  619.144897  0.727217  638.595581  0.727232  595.957092  2.280110e+02  3.828789e+01  8.728057e-10  4.158114e-26
63    315.0  0.613257  294.117218  0.726471  618.312561  0.726987  638.150879  0.727195  595.512207  2.026635e+02  4.783209e+01  1.880041e-09  1.276161e-25
64    320.0  0.603611  290.654663  0.726272  617.386963  0.726885  637.705933  0.727015  595.067078  1.780484e+02  5.895977e+01  3.988986e-09  3.857402e-25
65    325.0  0.593087  287.467651  0.726050  616.353455  0.726933  637.260925  0.726923  594.621704  1.545097e+02  7.173592e+01  8.340257e-09  1.148924e-24
66    330.0  0.581695  284.547424  0.725816  615.197083  0.727025  636.816040  0.726909  594.176208  1.323466e+02  8.618513e+01  1.718849e-08  3.373626e-24
67    335.0  0.569641  281.882355  0.725570  613.899780  0.726736  636.371033  0.726938  593.730835  1.118073e+02  1.022843e+02  3.490469e-08  9.767908e-24
68    340.0  0.558307  279.449188  0.725260  612.426941  0.726639  635.925720  0.726883  593.285461  9.310313e+01  1.199603e+02  6.987545e-08  2.788563e-23
69    345.0  0.547778  277.207886  0.724909  610.745911  0.726582  635.480286  0.726699  592.839905  7.640502e+01  1.390899e+02  1.379352e-07  7.848878e-23
70    350.0  0.537322  275.126190  0.724526  608.840698  0.726570  635.034790  0.726622  592.394104  6.175997e+01  1.594988e+02  2.685683e-07  2.178994e-22
71    355.0  0.527176  273.186127  0.724114  606.697571  0.726509  634.589172  0.726590  591.948303  4.914840e+01  1.809686e+02  5.158255e-07  5.968669e-22
72    360.0  0.517591  271.369507  0.723681  604.305359  0.726460  634.143433  0.726502  591.502380  3.849203e+01  2.032433e+02  9.775315e-07  1.613144e-21
73    365.0  0.508797  269.658325  0.723218  601.655884  0.726323  633.697510  0.726320  591.056213  2.966185e+01  2.260383e+02  1.827961e-06  4.301922e-21
74    370.0  0.500976  268.035370  0.722733  598.744080  0.726254  633.251404  0.726274  590.609741  2.248916e+01  2.490528e+02  3.373749e-06  1.132473e-20
75    375.0  0.494238  266.484772  0.722217  595.568420  0.726132  632.805115  0.726307  590.163269  1.677852e+01  2.719803e+02  6.146529e-06  2.943798e-20
76    380.0  0.488622  264.992126  0.721686  592.130554  0.726167  632.358826  0.726270  589.716797  1.232156e+01  2.945219e+02  1.105752e-05  7.556629e-20
77    385.0  0.484084  263.544952  0.721088  588.385620  0.726033  631.912476  0.726298  589.270325  8.910130e+00  3.163971e+02  1.964201e-05  1.915857e-19
78    390.0  0.480523  262.132690  0.720318  584.278503  0.726068  631.466064  0.726081  588.823669  6.347647e+00  3.373585e+02  3.446452e-05  4.795853e-19
79    395.0  0.477807  260.746674  0.719496  579.809326  0.726093  631.019775  0.725981  588.376648  4.457225e+00  3.571917e+02  5.973928e-05  1.185835e-18
80    400.0  0.475783  259.380005  0.718639  574.997009  0.725972  630.573364  0.726017  587.929565  3.086322e+00  3.757223e+02  1.022984e-04  2.897516e-18
81    405.0  0.474307  258.027313  0.717754  569.863098  0.725816  630.126648  0.725948  587.482422  2.108267e+00  3.928211e+02  1.730805e-04  6.995720e-18
82    410.0  0.473252  256.684570  0.716851  564.431396  0.725840  629.679871  0.725938  587.035217  1.421269e+00  4.084045e+02  2.894242e-04  1.669462e-17
83    415.0  0.472511  255.348770  0.715930  558.726990  0.725715  629.232910  0.725911  586.587952  9.458563e-01  4.224327e+02  4.783467e-04  3.937903e-17
84    420.0  0.471995  254.017746  0.714997  552.775269  0.725581  628.785706  0.725889  586.140564  6.215563e-01  4.349060e+02  7.814860e-04  9.181638e-17
85    425.0  0.471640  252.689957  0.714057  546.601746  0.725529  628.338379  0.725710  585.693054  4.033944e-01  4.458606e+02  1.262370e-03  2.116098e-16
86    430.0  0.471397  251.364304  0.713112  540.231262  0.725554  627.891052  0.725704  585.245300  2.586094e-01  4.553613e+02  2.016532e-03  4.822665e-16
87    435.0  0.471230  250.040039  0.712169  533.687622  0.725436  627.443665  0.725561  584.797424  1.637875e-01  4.634947e+02  3.185596e-03  1.086698e-15
88    440.0  0.471116  248.716660  0.711226  526.993225  0.725508  626.996216  0.725446  584.349243  1.024910e-01  4.703625e+02  4.978182e-03  2.421631e-15
89    445.0  0.471036  247.393829  0.710285  520.168640  0.725458  626.548706  0.725461  583.900940  6.337206e-02  4.760756e+02  7.695751e-03  5.338675e-15
90    450.0  0.470976  246.071350  0.709346  513.232605  0.725347  626.101013  0.725574  583.452698  3.872120e-02  4.807462e+02  1.176971e-02  1.164587e-14
91    455.0  0.470932  244.749023  0.708406  506.202148  0.725301  625.653076  0.725401  583.004395  2.338117e-02  4.844839e+02  1.781165e-02  2.513032e-14
92    460.0  0.470896  243.426773  0.707464  499.092468  0.725263  625.204956  0.725463  582.556030  1.395317e-02  4.873908e+02  2.667598e-02  5.366582e-14
93    465.0  0.470864  242.104584  0.706515  491.917084  0.725196  624.756653  0.725271  582.107605  8.229779e-03  4.895569e+02  3.954149e-02  1.133890e-13
94    470.0  0.470836  240.782410  0.705555  484.688019  0.725196  624.308228  0.725250  581.658936  4.797656e-03  4.910597e+02  5.801960e-02  2.371123e-13
95    475.0  0.470810  239.460205  0.704576  477.415924  0.725045  623.859436  0.725153  581.210144  2.764451e-03  4.919608e+02  8.427624e-02  4.907550e-13
96    480.0  0.470785  238.137955  0.703570  470.110596  0.725107  623.410339  0.725164  580.761230  1.574480e-03  4.923054e+02  1.212126e-01  1.005553e-12
97    485.0  0.470761  236.815643  0.702530  462.780975  0.725039  622.960815  0.725140  580.312256  8.863810e-04  4.921219e+02  1.726334e-01  2.039870e-12
98    490.0  0.470735  235.493301  0.701445  455.435577  0.724946  622.510620  0.725048  579.863220  4.932429e-04  4.914237e+02  2.434871e-01  4.096740e-12
99    495.0  0.470710  234.170898  0.700305  448.082581  0.724909  622.059509  0.724939  579.414001  2.713046e-04  4.902087e+02  3.401483e-01  8.146685e-12
100   500.0  0.470686  232.848434  0.699102  440.730316  0.724927  621.607422  0.724887  578.964600  1.475040e-04  4.884606e+02  4.707165e-01  1.604294e-11
101   505.0  0.470660  231.525894  0.697823  433.387390  0.724859  621.153870  0.724838  578.515137  7.926613e-05  4.861516e+02  6.453333e-01  3.129000e-11
102   510.0  0.470634  230.203278  0.696455  426.062897  0.724840  620.698364  0.724869  578.065613  4.210073e-05  4.832437e+02  8.765929e-01  6.045214e-11
103   515.0  0.470609  228.880585  0.694989  418.766418  0.724754  620.240417  0.724889  577.616028  2.209956e-05  4.796914e+02  1.179891e+00  1.156993e-10
